City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
393,Aksarka,RU,66.56,67.80,55.18,95,100,14.54,light rain
394,Bundibugyo,UG,0.74,30.04,68.23,83,100,1.19,overcast clouds
395,Nacala,MZ,-14.54,40.67,67.91,76,0,0.89,clear sky
396,Buguda,IN,19.82,84.80,77.54,92,100,2.01,overcast clouds
397,Nishihara,JP,26.18,127.76,87.08,79,20,5.75,few clouds
398,Carballo,ES,43.21,-8.69,67.42,89,36,1.23,scattered clouds
399,Hammerfest,NO,70.66,23.68,50.45,87,100,35.68,drizzle
400,Marshall,US,34.38,-86.33,82.38,69,35,2.06,scattered clouds
401,Ewa Beach,US,21.32,-158.01,87.75,53,75,18.41,broken clouds
402,Puerto Madero,MX,14.72,-92.42,86.2,79,75,5.75,broken clouds
403,Birin,NP,26.89,88.07,63.75,88,56,3.04,broken clouds
404,Mizdah,LY,31.45,12.98,74.35,71,0,6.11,clear sky
405,Yen Bai,VN,21.70,104.87,76.5,97,100,1.61,overcast clouds
406,Qasigiannguit,GL,68.82,-51.19,41.25,93,99,1.7,overcast clouds
407,Mbengwi,CM,6.02,10.00,63.14,98,100,3.38,overcast clouds
408,Kidal,ML,18.44,1.41,90.7,38,76,18.12,broken clouds
409,El Porvenir,HN,13.76,-87.35,70.93,69,87,1.43,overcast clouds
410,Sakskobing,DK,54.80,11.63,63.57,73,6,6.89,clear sky
411,Flinders,AU,-34.58,150.86,61.05,75,100,3.0,overcast clouds
412,Clovis,US,36.83,-119.70,101.16,26,20,3.44,few clouds
413,Partizanskoye,RU,55.50,94.39,60.22,82,27,2.66,scattered clouds
414,Okhotsk,RU,59.38,143.30,59.31,89,100,3.85,overcast clouds
415,Sur,OM,22.57,59.53,89.56,57,100,4.7,overcast clouds
416,Komsomolskiy,UZ,40.43,71.72,72.32,46,6,4.61,clear sky
417,Touros,BR,-5.20,-35.46,75.06,84,46,10.13,scattered clouds
418,Olinda,BR,-8.01,-34.86,78.53,73,40,4.61,scattered clouds
419,Ziro,IN,27.63,93.83,59.74,97,86,1.45,overcast clouds
420,Grand Gaube,MU,-20.01,57.66,69.39,66,79,8.99,broken clouds
421,Auki,SB,-8.77,160.70,83.52,70,99,1.72,overcast clouds
422,Nyrob,RU,60.73,56.72,47.93,97,67,3.2,broken clouds
423,Marfino,RU,55.70,37.38,62.94,64,0,4.47,clear sky
424,Whitley Bay,GB,55.04,-1.45,61.0,76,0,1.14,clear sky
425,Bundaberg,AU,-24.85,152.35,69.22,80,100,8.05,overcast clouds
426,Axim,GH,4.87,-2.24,74.82,84,100,6.51,overcast clouds
427,Cairns,AU,-16.92,145.77,79.07,65,40,9.22,scattered clouds
428,Karakol,KG,42.49,78.39,57.83,89,94,4.27,overcast clouds
429,Cascais,PT,38.70,-9.42,69.48,75,0,10.0,clear sky
430,Lima,PE,-12.04,-77.03,61.9,81,100,11.5,overcast clouds
431,Berlevag,NO,70.86,29.09,51.8,76,100,41.43,overcast clouds
432,Labuhan,ID,-6.88,112.21,78.82,83,90,5.41,overcast clouds
433,Oyama,JP,36.30,139.80,85.59,52,91,12.55,overcast clouds
434,Nizwa,OM,22.93,57.53,90.09,44,93,1.28,overcast clouds
435,Naze,JP,28.37,129.48,83.32,75,96,5.32,overcast clouds
436,Hovd,MN,48.01,91.64,65.59,48,3,2.91,clear sky
437,Pochutla,MX,15.74,-96.47,78.62,80,99,4.61,overcast clouds
438,Sira,IN,13.75,76.91,70.68,81,83,9.44,broken clouds
439,Irugur,IN,11.02,77.07,73.63,88,20,3.44,mist
440,Meulaboh,ID,4.14,96.13,76.6,85,99,3.06,overcast clouds
441,Broken Hill,AU,-31.95,141.43,55.31,48,22,18.72,few clouds
442,Raga,SS,8.46,25.68,69.96,96,100,3.65,light rain
443,Marakkanam,IN,12.20,79.95,83.23,62,98,10.54,overcast clouds
444,Bushenyi,UG,-0.59,30.21,64.54,63,100,0.98,overcast clouds
445,Faanui,PF,-16.48,-151.75,78.94,73,12,14.14,few clouds
